lat,lon,tipo,,,,
-7.166382688358894,-34.82689357779571,detran,,,,
-7.1991217683735975,-34.860102343889594,detran,,,,
-7.1012802616845265,-34.8440004389931,detran,,,,
-7.088101795318297,-34.8471761262542,detran,,,,
-7.144388740147858,-34.83733907109509,detran,,,,
-7.0994804272721375,-34.83628715998326,escola,,,,
-7.094973151046131,-34.86618519703357,escola,,,,
-7.114051610859371,-34.84592915589949,escola,,,,
-7.115755006247601,-34.84592915589949,escola,,,,
-7.120052722067301,-34.874711903976625,escola,,,,
-7.108098331033011,-34.876788996190115,escola,,,,
-7.116754990119374,-34.889666967913804,escola,,,,
-7.135304423758145,-34.8884207125857,escola,,,,
-7.139838615494209,-34.91251498226226,escola,,,,
-7.150967804594747,-34.90628370562177,escola,,,,
-7.157974932695145,-34.89299031545539,escola,,,,
-7.149731241413355,-34.87512732241932,escola,,,,
-7.147670295338736,-34.87928150684631,escola,,,,
-7.179819993772995,-34.8867590388149,escola,,,,
-7.168691508652181,-34.85435640028435,escola,,,,
-7.160860189462313,-34.83233922282128,escola,,,,
-7.143136181254884,-34.83483173347748,escola,,,,
-7.13200680155345,-34.8269387830662,escola,,,,
-7.199603294767134,-34.85518723716976,escola,,,,
-7.201664005705749,-34.844386357659566,escola,,,,
-7.093798409569832,-34.84065994714371,delegacia,,,,
-7.096090315602423,-34.84470173109755,delegacia,,,,
-7.110598445034599,-34.823611996487564,delegacia,,,,
-7.119868166577839,-34.82737979986682,delegacia,,,,", "
-7.117576379129075,-34.87212812221287,delegacia,,,,
-7.1227328847864, -34.8729942187744,delegacia,,,,
-7.120727583919296,-34.8799229912667,delegacia,,,,
-7.113279246813082,-34.87645860502055,delegacia,,,,
-7.144504157753515,-34.89522403052051,delegacia,,,,
-7.167420166947469,-34.839505151728325,delegacia,,,,
-7.17722422582446,-34.87074642865111,delegacia,,,,
-7.171853505046192,-34.873886028686684,delegacia,,,,
-7.1715028281668705,-34.87426731785849,delegacia,,,,
-7.171171636382046,-34.873235563075525,delegacia,,,,
-7.170945823663382,-34.8730383158376,delegacia,,,,
-7.171021094582054,-34.87402455202721,delegacia,,,,
-7.167205469091172,-34.8385449741889,delegacia,,,,
-7.200219240830237,-34.84119880611348,delegacia,,,,
-7.104684861549492,-34.85191920244368,delegacia,,,,
